Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,1.983823256,3.732251521,5.416503715,4.34984233,2.861967825,3.215933639,3.884830534
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709743,10.45197189,10.5240552,10.5015672,10.42559649,9.071928711,9.598113867,8.421763564,8.981662578,-5.649649519,1.626508741,-3.497335933,7.567568824,-16.75422907,-14.80312631,5.185184972,9.154929219,14.17952014,26.13929577,6.495281921,-9.22640508,6.698897756,3.597051868,14.17114862,4.829180114,1.797000227,2.984519345,2.309707661,6.727329799,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716482216,7.144114758,4.149243017,2.625684058,2.704561615,-1.264720771,0.88283993,3.395355597,2.516849119,1.446544635,-2.323966973,-4.175260401,1.538777407,0.612897452,3.08668686,-0.410428618,-0.147988573,1.044959524,-1.689549856,1.437191339
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230335,5.378476821,5.728756912,5.583127589,-2.98966262,0.86798323,0.955704511,-0.821736963,2.349390744,1.149628083,3.07674732,3.144077384,3.031388275
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19999561,-9.600001258,-7.600001956,-11.700004,-10.40000053,2.800004698,11.40000547,8.399991587,3.399999138,5.800003498,4.725306006,5.045267318,7.043192675,11.44974293,9.400001668,9.999994662,8.600006544,10.1999996,0.199995239,7.793697905,5.543710696,1.731392764,1.023985463,1.723085689,-3.829569366,-2.526450606,2.421906267
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.892277219,4.89265218,4.956434195,4.99987991,4.930540961,4.770845113,4.913123162,7.367225457,5.106374791,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,15.16651808,1.290639737,-0.283156225,-2.106017315,1.957945127,1.066849255,4.57425873,11.21577971,9.237596458,13.09084157,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.326537858,4.650468034,2.578742031,4.582560297,1.104310804,3.228494977,0.71311775,3.32444222,2.103950804,3.801292507,0.713299838,4.045302801,3.794991955,-0.486536511,0.883603673
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.68,4.47,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426117,6.312292359,3.4375,1.812688822,1.483679525,0.877192982,3.768115942,8.938547486,5.897435897,1.452784504,2.14797136,7.943925234,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,,,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.079983628,5.570225346,6.420701581,4.794559575,5.625017746,6.497295733,6.908867936,-12.16902795,3.09601364,-0.494821367,5.063336314,7.967485482,5.739161343,2.939568128,7.311017648,4.614567334,4.971216087,2.052694442,0.133344041,-1.371773316,0.27561674,-3.938737804,-4.042121789,-0.200671744,-1.676387096,-2.573877377,2.463479373,2.909502524,3.790130047,4.63578591,5.266527472,1.646496933,4.269293696,4.667270435,4.678272586,4.361343058,4.954208743,5.029352337,0.426889577,2.507807553,1.683800939,2.485564847,2.711340707,4.173294318,4.421434767,4.797009171,4.564382752,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,4.857187895,4.263919404,4.195207019
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.27591155,5.21605942,0.874672592,3.485582304,3.053487894,4.150360233,4.915265675,11.42728238,9.73582689,8.769947472,11.29508684,12.05280225,13.97869165,9.042120313,5.209075901,9.790410161,4.606318061,3.231709563,6.766284965,9.110960155,-4.3933572,0.580245553,-3.409793474,5.26914315,7.945861749,7.988295105,3.599629467,-0.102672718,3.279458858,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535528,3.395028637,0.338356179,0.469066587,4.11248424,1.382832028,3.054016493,1.139886869,5.764411607,3.196464112,3.957296829,6.060353585,5.090857911,-0.125775154,7.541798636,3.985277615,1.933107889,3.010305581,0.508210254,-3.549767247,-3.468162856,0.976085681
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,-1.9,4.4,3.6,4.9,7.9,4.4,-1.9,-4.9,0.5,3.6,1.1,5.1,2.6,3.5,3.6,-3.3,-3.9,-7,1.2,3.8,2,4,4.7,3.7,0.4,2.3,-2.4,0.8,2.2,1.4,4,5.7,1.8,0.1,-4,0.3,0.7,0.3,0,0,0.9,2,1.671064204
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.355463068,20.15539436,10.91669706,6.775834422,22.56242876,-6.996702984,-19.82671586,3.956654938,0.501465966,0.599876542,-1.49074908,-2.715469953,2.009129814,1.097367166,-1.074178573,1.089420535,3.145941362,4.758580846,0.304572874,3.145397395,4.47870734,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.46551471,1.328751395
